"C_Organization_id","C_Organization_code","C_Organization_name","C_Organization_level","C_Organization_code_upward1","C_Organization_code_upward2","C_Organization_code_upward3","C_Organization_code_upward4","C_Organization_code_upward5","C_Organization_code_upward6","C_Organization_name_upward1","C_Organization_name_upward2","C_Organization_name_upward3","C_Organization_name_upward4","C_Organization_name_upward5","C_Organization_name_upward6"
"1173","C6790683-7B0E-4DEF-9593-4E24E9325137","湖南（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1174","FD80E5E2-B8CF-4E3A-A314-1BF7753D3EFC","人力行政部（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1175","13C58025-8B78-44EF-8F98-3FF19E8B7574","指挥中心（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1176","8130EE09-23A9-4E0B-9256-DF582A5C6080","财务部（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1179","84C8903D-0696-496C-B5EE-1B8CCC7ACA69","IT信息中心（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1178","5D882C84-5DB8-47DC-8D1E-84749016F7D6","旷真集团（已废弃）","1",,,,,,,,,,,,
"1180","240F2AF4-7F9E-47A4-94DA-3DA72D9C5E78","市场规划部（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1182","E936EF60-CAD7-452C-96B3-A9BEE82E9407","案件策划指挥中心（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1183","49CF1538-167A-4408-BE83-7DA3897621E9","成都市（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1184","315CAD78-36EA-4C63-B135-EF89AA4CA838","重庆市（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1204","5EE72657-2993-450D-BB65-FDC66C3E4B06","北京市（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1241","4977AB29-57D1-40E0-B755-72B4A0D367E2","深圳市（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1261","6EFAEBB6-A5DD-4AB6-96F3-5AD5D0DF9390","山东省（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
"1389","73E0774D-D89F-49A2-A60E-C3D14CB083CC","珠海市（已废弃）","2",,,,,,"5D882C84-5DB8-47DC-8D1E-84749016F7D6",,,,,,"旷真集团（已废弃）"
