DATETIMESTAMP,DATE_SQL,DATETIME_SAP,DATE_SAP,YEAR,QUARTER,MONTH,WEEK,WEEK_YEAR,DAY_OF_WEEK,DAY,HOUR,MINUTE,SECOND,CALQUARTER,CALMONTH,CALWEEK,YEAR_INT,QUARTER_INT,MONTH_INT,WEEK_INT,WEEK_YEAR_INT,DAY_OF_WEEK_INT,DAY_INT,HOUR_INT,MINUTE_INT,SECOND_INT,MONTH_LAST_DAY,TZNTSTMPS,TZNTSTMPL
0001-01-01 00:00:00.000000000,0001-01-01,00010101000000,00010101,0001,01,01,01,0001,05,01,00,00,00,00011,000101,000101,1,1,1,1,1,5,1,0,0,0,0,10101000000,10101000000.0000000
9999-12-31 00:00:00.000000000,9999-12-31,99991231000000,99991231,9999,04,12,52,9999,04,31,00,00,00,99994,999912,999952,9999,4,12,52,9999,4,31,0,0,0,1,99991231000000,99991231000000.0000000
1900-01-01 00:00:00.000000000,1900-01-01,19000101000000,19000101,1900,01,01,01,1900,00,01,00,00,00,19001,190001,190001,1900,1,1,1,1900,0,1,0,0,0,0,19000101000000,19000101000000.0000000
2015-01-01 00:00:00.000000000,2015-01-01,20150101000000,20150101,2015,01,01,01,2015,03,01,00,00,00,20151,201501,201501,2015,1,1,1,2015,3,1,0,0,0,0,20150101000000,20150101000000.0000000
2015-01-02 00:00:00.000000000,2015-01-02,20150102000000,20150102,2015,01,01,01,2015,04,02,00,00,00,20151,201501,201501,2015,1,1,1,2015,4,2,0,0,0,0,20150102000000,20150102000000.0000000
2015-01-03 00:00:00.000000000,2015-01-03,20150103000000,20150103,2015,01,01,01,2015,05,03,00,00,00,20151,201501,201501,2015,1,1,1,2015,5,3,0,0,0,0,20150103000000,20150103000000.0000000
2015-01-04 00:00:00.000000000,2015-01-04,20150104000000,20150104,2015,01,01,01,2015,06,04,00,00,00,20151,201501,201501,2015,1,1,1,2015,6,4,0,0,0,0,20150104000000,20150104000000.0000000
2015-01-05 00:00:00.000000000,2015-01-05,20150105000000,20150105,2015,01,01,02,2015,00,05,00,00,00,20151,201501,201502,2015,1,1,2,2015,0,5,0,0,0,0,20150105000000,20150105000000.0000000
2015-01-06 00:00:00.000000000,2015-01-06,20150106000000,20150106,2015,01,01,02,2015,01,06,00,00,00,20151,201501,201502,2015,1,1,2,2015,1,6,0,0,0,0,20150106000000,20150106000000.0000000
2015-01-07 00:00:00.000000000,2015-01-07,20150107000000,20150107,2015,01,01,02,2015,02,07,00,00,00,20151,201501,201502,2015,1,1,2,2015,2,7,0,0,0,0,20150107000000,20150107000000.0000000
2015-01-08 00:00:00.000000000,2015-01-08,20150108000000,20150108,2015,01,01,02,2015,03,08,00,00,00,20151,201501,201502,2015,1,1,2,2015,3,8,0,0,0,0,20150108000000,20150108000000.0000000
2015-01-09 00:00:00.000000000,2015-01-09,20150109000000,20150109,2015,01,01,02,2015,04,09,00,00,00,20151,201501,201502,2015,1,1,2,2015,4,9,0,0,0,0,20150109000000,20150109000000.0000000
2015-01-10 00:00:00.000000000,2015-01-10,20150110000000,20150110,2015,01,01,02,2015,05,10,00,00,00,20151,201501,201502,2015,1,1,2,2015,5,10,0,0,0,0,20150110000000,20150110000000.0000000
2015-01-11 00:00:00.000000000,2015-01-11,20150111000000,20150111,2015,01,01,02,2015,06,11,00,00,00,20151,201501,201502,2015,1,1,2,2015,6,11,0,0,0,0,20150111000000,20150111000000.0000000
2015-01-12 00:00:00.000000000,2015-01-12,20150112000000,20150112,2015,01,01,03,2015,00,12,00,00,00,20151,201501,201503,2015,1,1,3,2015,0,12,0,0,0,0,20150112000000,20150112000000.0000000
2015-01-13 00:00:00.000000000,2015-01-13,20150113000000,20150113,2015,01,01,03,2015,01,13,00,00,00,20151,201501,201503,2015,1,1,3,2015,1,13,0,0,0,0,20150113000000,20150113000000.0000000
2015-01-14 00:00:00.000000000,2015-01-14,20150114000000,20150114,2015,01,01,03,2015,02,14,00,00,00,20151,201501,201503,2015,1,1,3,2015,2,14,0,0,0,0,20150114000000,20150114000000.0000000
2015-01-15 00:00:00.000000000,2015-01-15,20150115000000,20150115,2015,01,01,03,2015,03,15,00,00,00,20151,201501,201503,2015,1,1,3,2015,3,15,0,0,0,0,20150115000000,20150115000000.0000000
2015-01-16 00:00:00.000000000,2015-01-16,20150116000000,20150116,2015,01,01,03,2015,04,16,00,00,00,20151,201501,201503,2015,1,1,3,2015,4,16,0,0,0,0,20150116000000,20150116000000.0000000
2015-01-17 00:00:00.000000000,2015-01-17,20150117000000,20150117,2015,01,01,03,2015,05,17,00,00,00,20151,201501,201503,2015,1,1,3,2015,5,17,0,0,0,0,20150117000000,20150117000000.0000000
2015-01-18 00:00:00.000000000,2015-01-18,20150118000000,20150118,2015,01,01,03,2015,06,18,00,00,00,20151,201501,201503,2015,1,1,3,2015,6,18,0,0,0,0,20150118000000,20150118000000.0000000
2015-01-19 00:00:00.000000000,2015-01-19,20150119000000,20150119,2015,01,01,04,2015,00,19,00,00,00,20151,201501,201504,2015,1,1,4,2015,0,19,0,0,0,0,20150119000000,20150119000000.0000000
2015-01-20 00:00:00.000000000,2015-01-20,20150120000000,20150120,2015,01,01,04,2015,01,20,00,00,00,20151,201501,201504,2015,1,1,4,2015,1,20,0,0,0,0,20150120000000,20150120000000.0000000
